State,District,Soil_Type,Season,Water_Availability,Previous_Crop,Land_Area_Acres,Temperature_C,Rainfall_mm,Recommended_Crop,Fertilizer_N,Fertilizer_P,Fertilizer_K
Andhra Pradesh,West Godavari,Red,Rabi,Low,Maize,5,26.7,169,Ragi,Low,Medium,Low
Tamil Nadu,Thanjavur,Clay,Kharif,High,None,1,26.4,389,Banana,Medium,High,High
Odisha,Nayagarh,Clay,Kharif,Medium,Chilli,3,25.4,1175,Rice,Low,High,High
Andhra Pradesh,Anakapalli,Sandy,Summer,Low,Soybean,3,38.6,153,Onion,Medium,High,Medium
Tamil Nadu,Tiruvarur,Black,Kharif,Medium,Ragi,3,30.4,503,Cotton,High,Low,High
Karnataka,Kolar,Clay,Summer,High,None,3,30.5,66,Rice,Low,High,Medium
Karnataka,Tumkur,Clay,Rabi,Medium,Bajra,1,19.6,160,Wheat,Medium,Medium,Low
Telangana,Bhadradri Kothagudem,Red,Summer,High,Groundnut,2,38.1,79,Onion,Low,High,Medium
Andhra Pradesh,West Godavari,Red,Kharif,Medium,Ragi,1,26.9,477,Cotton,High,Medium,High
Telangana,Jangaon,Red,Kharif,High,Maize,2,27.7,732,Cotton,High,Medium,High
Tamil Nadu,Pudukkottai,Black,Rabi,High,Soybean,4,24.5,326,Wheat,Medium,Medium,Medium
Telangana,Karimnagar,Black,Kharif,Low,Jowar,4,26.4,794,Cotton,High,Medium,High
Telangana,Medak,Black,Rabi,Low,Ragi,3,23.5,42,Jowar,Low,Medium,Low
Telangana,Nizamabad,Clay,Kharif,Low,Sunflower,1,28.7,879,Cotton,High,Medium,High
Maharashtra,Satara,Black,Kharif,Low,Soybean,5,22.5,697,Cotton,High,Medium,High
Karnataka,Kolar,Red,Summer,Medium,Chilli,1,25.4,94,Onion,Medium,High,Medium
Maharashtra,Sangli,Loam,Kharif,High,Groundnut,3,21.5,442,Rice,Low,High,Medium
Telangana,Medchal Malkajgiri,Sandy,Rabi,Medium,Turmeric,6,26.4,81,Sunflower,Medium,Medium,Medium
Tamil Nadu,Cuddalore,Clay,Rabi,Low,Rice,3,24.6,326,Wheat,Medium,Medium,Medium
Karnataka,Bellary,Loam,Summer,High,None,5,31.5,40,Banana,Medium,High,High
Andhra Pradesh,West Godavari,Clay,Rabi,Low,Jowar,3,25.4,143,Sunflower,Medium,Medium,Medium
Telangana,Bhadradri Kothagudem,Black,Kharif,Low,Soybean,2,26.8,762,Cotton,High,Medium,High
Odisha,Nayagarh,Loam,Summer,High,Cotton,1,33.8,101,Rice,Low,High,Medium
Telangana,Nalgonda,Loam,Kharif,Low,Jowar,2,24.5,675,Cotton,High,High,High
Telangana,Nizamabad,Red,Kharif,Medium,Banana,2,26.8,722,Cotton,High,Medium,High
Maharashtra,Wardha,Red,Summer,High,None,4,37.5,78,Onion,Medium,High,Medium
Karnataka,Belgaum,Clay,Rabi,High,Groundnut,3,20.6,50,Wheat,Medium,Medium,Low
Maharashtra,Aurangabad,Clay,Kharif,Low,None,2,25.5,515,Cotton,High,Medium,High
Andhra Pradesh,YSR Kadapa,Loam,Rabi,High,Ragi,4,25.9,109,Rice,Low,High,Medium
Tamil Nadu,Perambalur,Loam,Rabi,Medium,Rice,2,24.6,270,Wheat,Medium,High,Low
Telangana,Mulugu,Red,Kharif,Medium,Maize,2,28.5,1099,Maize,High,Medium,Medium
Tamil Nadu,Tiruchirappalli,Black,Kharif,Medium,None,1,28.5,273,Cotton,High,Medium,High
Maharashtra,Latur,Sandy,Kharif,High,None,4,25.5,590,Sugarcane,Medium,High,High
Odisha,Bhadrak,Red,Rabi,Low,Groundnut,4,20.4,97,Ragi,Low,Medium,Low
Maharashtra,Yavatmal,Clay,Kharif,High,Jowar,10,25.8,722,Sugarcane,High,High,Medium
Maharashtra,Sangli,Sandy,Kharif,Low,Sunflower,1,22.5,494,Cotton,High,Medium,High
Andhra Pradesh,West Godavari,Clay,Kharif,Low,Cotton,1,30.8,662,Cotton,High,Medium,Medium
Maharashtra,Akola,Clay,Kharif,High,Cotton,8,26.8,741,Rice,Medium,High,Low
Maharashtra,Kolhapur,Loam,Kharif,High,Maize,2,27.2,811,Rice,Low,High,Medium
Andhra Pradesh,Eluru,Sandy,Summer,High,Bajra,5,37.6,101,Rice,Low,High,Medium
Maharashtra,Nashik,Red,Rabi,Medium,Chilli,2,21.7,69,Onion,Medium,High,Medium
Telangana,Warangal Urban,Clay,Rabi,High,Groundnut,3,24.0,61,Turmeric,High,High,Low
Andhra Pradesh,East Godavari,Red,Rabi,Low,Cotton,3,28.7,133,Sunflower,Medium,Medium,Medium
Tamil Nadu,Dindigul,Red,Kharif,Low,Cotton,3,29.9,254,Ragi,Low,High,Medium
Odisha,Sambalpur,Black,Rabi,Low,Sunflower,4,21.4,62,Jowar,Low,Medium,Medium
Karnataka,Chamarajanagar,Clay,Summer,Medium,Soybean,3,30.2,100,Maize,High,Medium,Medium
Andhra Pradesh,East Godavari,Red,Kharif,High,Soybean,7,31.0,534,Rice,Low,High,Medium
Karnataka,Chikkamagaluru,Black,Rabi,Medium,Soybean,3,17.2,98,Wheat,Medium,Medium,Low
Telangana,Warangal Urban,Loam,Kharif,Low,Rice,1,26.7,589,Cotton,High,High,High
Odisha,Keonjhar,Red,Rabi,Low,Jowar,9,18.0,47,Ragi,Low,Medium,Low
Tamil Nadu,Dindigul,Clay,Kharif,High,None,2,26.2,389,Rice,Low,High,Medium
Maharashtra,Aurangabad,Black,Kharif,Low,Groundnut,4,27.0,551,Cotton,High,Medium,High
Karnataka,Bidar,Black,Kharif,Low,Maize,1,26.7,676,Cotton,High,High,High
Karnataka,Tumkur,Black,Kharif,High,None,4,22.3,387,Cotton,High,Medium,High
Tamil Nadu,Namakkal,Red,Rabi,Medium,Rice,2,25.9,232,Ragi,Low,Medium,Low
Telangana,Suryapet,Black,Rabi,Medium,Groundnut,2,22.2,35,Wheat,Medium,Medium,Low
Telangana,Suryapet,Clay,Kharif,Medium,Rice,2,26.6,734,Cotton,High,Medium,High
Tamil Nadu,Coimbatore,Red,Kharif,Medium,Groundnut,6,23.2,354,Ragi,Low,Medium,Low
Maharashtra,Kolhapur,Loam,Rabi,Low,None,1,20.7,38,Wheat,Medium,Medium,Low
Maharashtra,Sangli,Loam,Rabi,High,None,2,21.2,49,Wheat,Medium,Medium,Low
Andhra Pradesh,Srikakulam,Black,Kharif,Medium,Sugarcane,3,26.8,354,Cotton,High,Medium,High
Odisha,Cuttack,Loam,Kharif,Low,Chilli,2,26.8,1122,Rice,Low,High,Low
Tamil Nadu,Virudhunagar,Red,Rabi,High,Chilli,1,25.2,308,Ragi,Low,Medium,Low
Maharashtra,Nashik,Sandy,Rabi,Medium,Rice,4,17.3,36,Wheat,Medium,Medium,Low
Telangana,Peddapalli,Clay,Kharif,Medium,Jowar,2,32.4,987,Turmeric,High,High,Low
Andhra Pradesh,Eluru,Black,Rabi,Medium,Banana,10,27.4,127,Onion,Medium,High,Medium
Odisha,Cuttack,Sandy,Rabi,Medium,Ragi,3,19.9,215,Wheat,Medium,Medium,Low
Maharashtra,Jalgaon,Sandy,Rabi,Medium,Rice,4,18.8,35,Onion,Medium,High,Medium
Andhra Pradesh,Tirupati,Red,Summer,Low,None,13,32.2,88,Onion,Medium,High,Medium
Karnataka,Kolar,Black,Kharif,High,None,2,22.4,530,Sugarcane,High,Medium,High
Maharashtra,Dhule,Loam,Rabi,Medium,Ragi,1,22.6,27,Wheat,Medium,Medium,Low
Odisha,Boudh,Sandy,Summer,Medium,Bajra,1,34.8,59,Maize,High,Low,High
Tamil Nadu,Salem,Loam,Rabi,Medium,None,4,19.8,209,Wheat,Medium,Medium,Low
Maharashtra,Wardha,Black,Rabi,Low,None,2,23.0,37,Jowar,Low,Medium,Low
Tamil Nadu,Madurai,Loam,Kharif,Medium,Rice,1,28.2,215,Rice,Low,Medium,Medium
Tamil Nadu,Ramanathapuram,Black,Kharif,High,None,1,26.9,460,Cotton,High,Low,High
Telangana,Medak,Red,Kharif,High,None,5,29.0,488,Cotton,High,Low,High
Andhra Pradesh,Nellore,Black,Rabi,Medium,Chilli,1,22.6,319,Wheat,Medium,Medium,Low
Andhra Pradesh,YSR Kadapa,Sandy,Rabi,Low,Rice,2,25.1,117,Sunflower,Medium,Medium,High
Telangana,Jagtial,Black,Kharif,High,Chilli,13,29.5,674,Cotton,High,Medium,High
Odisha,Puri,Clay,Rabi,Low,Ragi,2,24.4,59,Ragi,Low,Medium,Low
Odisha,Angul,Red,Rabi,Low,Groundnut,4,18.1,119,Ragi,Low,Medium,Low
Tamil Nadu,Chennai,Loam,Kharif,Low,Rice,3,29.5,448,Cotton,High,Medium,High
Maharashtra,Latur,Black,Kharif,Low,Sugarcane,2,25.5,462,Cotton,High,Medium,Medium
Karnataka,Chamarajanagar,Sandy,Rabi,Medium,Cotton,1,21.5,98,Sunflower,High,High,Medium
Maharashtra,Pune,Sandy,Kharif,Medium,Cotton,5,26.5,492,Cotton,High,Medium,High
Odisha,Puri,Black,Kharif,Low,None,8,28.6,813,Cotton,High,Medium,High
Odisha,Dhenkanal,Black,Summer,Low,Jowar,3,31.7,77,Onion,Medium,High,Medium
Odisha,Rayagada,Clay,Kharif,Low,Jowar,1,25.1,1668,Rice,Low,High,Medium
Tamil Nadu,Namakkal,Sandy,Kharif,High,Groundnut,4,27.2,342,Rice,Low,High,Medium
Tamil Nadu,Salem,Red,Kharif,Medium,Rice,1,26.7,426,Chilli,Medium,High,Medium
Odisha,Boudh,Sandy,Kharif,Low,Maize,1,28.7,1022,Groundnut,Low,Medium,Medium
Tamil Nadu,Tiruchirappalli,Loam,Kharif,Medium,None,1,25.5,495,Maize,High,Low,Medium
Maharashtra,Kolhapur,Loam,Kharif,Medium,Ragi,1,25.8,402,Cotton,High,Medium,High
Andhra Pradesh,Chittoor,Clay,Kharif,High,Jowar,3,27.6,479,Rice,Low,High,Medium
Andhra Pradesh,Kurnool,Sandy,Summer,High,Cotton,1,37.7,80,Rice,Low,High,Medium
Karnataka,Koppal,Red,Summer,High,Cotton,1,30.9,66,Sugarcane,Medium,High,Medium
Karnataka,Mandya,Red,Kharif,High,Rice,2,24.6,350,Ragi,Low,High,Low
Maharashtra,Amravati,Red,Kharif,Low,Rice,2,28.6,656,Cotton,High,High,High
Maharashtra,Beed,Sandy,Kharif,Medium,Maize,20,28.1,401,Cotton,High,Medium,High
Andhra Pradesh,Anakapalli,Sandy,Kharif,Medium,None,1,26.4,603,Groundnut,Low,Medium,Medium
Maharashtra,Parbhani,Red,Kharif,High,Soybean,1,26.0,848,Sugarcane,High,High,High
Andhra Pradesh,Nellore,Black,Kharif,High,None,3,32.6,648,Cotton,High,High,High
Maharashtra,Nagpur,Red,Kharif,High,None,2,29.8,963,Sugarcane,High,High,High
Telangana,Sangareddy,Sandy,Rabi,Low,Groundnut,3,29.3,54,Sunflower,Medium,Medium,Medium
Odisha,Dhenkanal,Sandy,Rabi,Low,Maize,1,21.6,118,Ragi,Low,Medium,Medium
Karnataka,Udupi,Sandy,Summer,Medium,Rice,3,26.3,154,Onion,Medium,High,Medium
Tamil Nadu,Karur,Loam,Rabi,High,Cotton,1,25.4,196,Rice,Low,High,Medium
Andhra Pradesh,Kurnool,Sandy,Kharif,Low,None,4,32.6,431,Groundnut,Low,Medium,Medium
Andhra Pradesh,Nellore,Sandy,Rabi,Low,Cotton,6,23.9,214,Sunflower,Low,Medium,Medium
Andhra Pradesh,Anakapalli,Loam,Kharif,High,None,6,28.7,871,Rice,Low,High,Medium
Odisha,Balasore,Black,Kharif,High,Bajra,2,26.9,863,Rice,Low,High,Medium
Tamil Nadu,Perambalur,Clay,Summer,Medium,Cotton,3,33.8,121,Banana,High,High,Medium
Tamil Nadu,Theni,Red,Kharif,Medium,Maize,1,27.2,382,Ragi,Low,Medium,Low
Telangana,Siddipet,Clay,Kharif,Medium,Jowar,2,28.9,631,Cotton,High,Medium,High
Telangana,Mahabubnagar,Black,Rabi,Medium,Jowar,1,21.4,43,Onion,Medium,High,Medium
Maharashtra,Amravati,Red,Kharif,Low,Soybean,0,32.1,682,Cotton,High,Medium,High
Telangana,Jangaon,Loam,Kharif,High,Maize,1,24.6,1070,Rice,Low,High,High
Maharashtra,Osmanabad,Loam,Kharif,Low,Soybean,4,24.7,483,Cotton,High,Medium,High
Karnataka,Udupi,Black,Summer,High,Rice,3,27.6,161,Sugarcane,High,High,High
Karnataka,Gadag,Red,Rabi,High,Groundnut,0,24.1,57,Ragi,Medium,Medium,Medium
Odisha,Balasore,Sandy,Summer,Medium,Cotton,2,31.0,97,Onion,Medium,High,Medium
Karnataka,Bellary,Clay,Rabi,Low,Soybean,1,22.1,44,Wheat,Medium,Medium,Low
Karnataka,Bellary,Red,Kharif,Low,Rice,2,31.6,574,Cotton,High,Medium,High
Odisha,Koraput,Black,Kharif,Low,Rice,1,24.1,1220,Cotton,High,High,High
Odisha,Malkangiri,Black,Kharif,High,Soybean,3,23.4,1393,Rice,Low,Medium,Medium
Karnataka,Chitradurga,Sandy,Rabi,High,Bajra,2,25.1,108,Sunflower,Medium,Medium,Medium
Maharashtra,Nanded,Loam,Kharif,Low,Rice,2,27.3,509,Cotton,High,Medium,High
Maharashtra,Nagpur,Clay,Kharif,High,Maize,1,26.3,889,Rice,Low,High,Medium
Karnataka,Belgaum,Red,Kharif,High,Rice,2,22.1,766,Sugarcane,High,High,High
Karnataka,Chamarajanagar,Red,Summer,Medium,Groundnut,4,28.3,79,Onion,Medium,High,Medium
Karnataka,Tumkur,Clay,Rabi,Low,Jowar,10,20.9,131,Wheat,Medium,Medium,Low
Telangana,Rangareddy,Black,Rabi,High,Sugarcane,1,24.1,46,Jowar,Low,Low,Low
Maharashtra,Beed,Sandy,Rabi,High,None,7,21.3,16,Onion,Medium,High,Medium
Maharashtra,Ratnagiri,Loam,Summer,Low,Maize,3,32.9,108,Onion,Medium,High,Medium
Andhra Pradesh,Kurnool,Red,Kharif,High,Sugarcane,3,26.3,547,Rice,Low,High,Medium
Telangana,Nalgonda,Sandy,Kharif,High,Groundnut,0,30.4,720,Rice,Low,High,Low
Odisha,Malkangiri,Red,Kharif,Medium,None,2,28.3,1486,Rice,Low,High,Medium
Odisha,Ganjam,Sandy,Kharif,Low,Cotton,2,22.5,835,Groundnut,Low,Medium,High
Karnataka,Udupi,Clay,Summer,Medium,None,2,25.0,189,Maize,High,Medium,Medium
Andhra Pradesh,East Godavari,Sandy,Rabi,Low,Ragi,3,28.7,239,Sunflower,Medium,Medium,High
Telangana,Sangareddy,Black,Kharif,Medium,Groundnut,5,28.4,616,Cotton,High,Medium,High
Tamil Nadu,Coimbatore,Black,Rabi,Medium,Jowar,3,20.7,213,Wheat,Medium,Medium,Low
Odisha,Sonepur,Loam,Kharif,Medium,Maize,2,24.2,544,Maize,High,Medium,Medium
Maharashtra,Buldhana,Loam,Kharif,High,Jowar,2,23.7,725,Rice,Low,High,Medium
Karnataka,Chamarajanagar,Sandy,Kharif,High,Jowar,3,26.0,434,Groundnut,Low,Medium,High
Odisha,Malkangiri,Sandy,Rabi,High,None,1,20.1,56,Sunflower,High,Medium,Medium
Odisha,Kendrapara,Loam,Kharif,Medium,Rice,3,26.7,1047,Rice,Low,High,Medium
Telangana,Peddapalli,Clay,Kharif,High,Jowar,4,27.8,805,Rice,Low,High,High
Maharashtra,Osmanabad,Clay,Kharif,Medium,None,1,29.4,660,Cotton,High,Medium,High
Karnataka,Bidar,Sandy,Rabi,High,Groundnut,0,22.0,82,Sunflower,High,Medium,Medium
Maharashtra,Parbhani,Sandy,Rabi,Medium,Jowar,0,19.3,32,Onion,High,High,High
Karnataka,Shimoga,Clay,Kharif,High,Cotton,2,19.7,1569,Rice,Low,High,Medium
Andhra Pradesh,East Godavari,Red,Summer,Low,None,2,31.4,62,Onion,High,High,Medium
Andhra Pradesh,Visakhapatnam,Red,Kharif,Medium,None,9,27.3,957,Groundnut,Low,High,Medium
Tamil Nadu,Tiruchirappalli,Loam,Summer,Low,Cotton,2,36.0,151,Banana,High,High,High
Telangana,Jangaon,Clay,Kharif,Low,Bajra,1,30.6,744,Cotton,High,Medium,High
Tamil Nadu,Pudukkottai,Black,Kharif,Medium,None,3,28.6,276,Cotton,High,Medium,High
Karnataka,Raichur,Clay,Kharif,Low,Soybean,1,29.4,239,Ragi,Low,Medium,Low
Odisha,Angul,Loam,Kharif,Low,Rice,3,27.4,705,Maize,High,Medium,Medium
Odisha,Malkangiri,Loam,Summer,Low,None,2,34.9,18,Maize,Medium,Medium,Medium
Tamil Nadu,Kanyakumari,Black,Kharif,Low,Sugarcane,1,24.2,891,Cotton,High,High,High
Odisha,Puri,Sandy,Rabi,Medium,Cotton,2,22.1,106,Wheat,Medium,Low,Low
Telangana,Nalgonda,Red,Kharif,Medium,Cotton,4,26.7,489,Cotton,High,Medium,High
Andhra Pradesh,Anakapalli,Black,Rabi,High,Onion,2,22.4,165,Wheat,Medium,Medium,Low
Odisha,Kendrapara,Loam,Rabi,High,Bajra,5,23.5,105,Wheat,Medium,Medium,Low
Tamil Nadu,Virudhunagar,Red,Kharif,High,Jowar,4,23.7,277,Ragi,Low,Low,Low
Maharashtra,Dhule,Sandy,Kharif,Medium,None,1,27.3,730,Cotton,High,Medium,High
Odisha,Ganjam,Black,Rabi,Low,Groundnut,1,25.8,134,Jowar,Low,Medium,Low
Odisha,Ganjam,Red,Rabi,High,Maize,1,28.2,139,Ragi,Medium,Medium,Low
Karnataka,Dharwad,Loam,Kharif,High,Rice,2,22.2,154,Rice,Low,High,Medium
Telangana,Medak,Sandy,Summer,Low,Rice,3,31.1,52,Maize,Medium,Medium,Low
Telangana,Suryapet,Red,Kharif,Low,None,3,27.1,651,Cotton,High,Medium,High
Maharashtra,Nashik,Sandy,Kharif,Low,Jowar,5,22.2,723,Cotton,High,Medium,High
Tamil Nadu,Vellore,Black,Kharif,High,Banana,2,29.7,348,Cotton,High,Medium,High
Telangana,Kamareddy,Loam,Rabi,Low,Sugarcane,3,24.6,50,Wheat,Medium,Medium,Medium
Karnataka,Chikkamagaluru,Loam,Summer,Low,Bajra,3,21.2,153,Maize,High,Medium,Medium
Odisha,Cuttack,Black,Rabi,Medium,None,2,23.7,194,Wheat,Medium,Medium,Low
Andhra Pradesh,Guntur,Loam,Kharif,Low,Rice,2,28.3,359,Groundnut,Medium,Medium,Medium
Maharashtra,Wardha,Loam,Summer,High,Chilli,2,34.1,67,Banana,High,High,High
Tamil Nadu,Coimbatore,Loam,Kharif,Low,None,1,22.7,184,Ragi,Low,Medium,Low
Telangana,Adilabad,Black,Kharif,High,Maize,3,26.2,1039,Rice,Low,High,Medium
Telangana,Rangareddy,Red,Rabi,Low,Bajra,4,22.9,64,Ragi,Low,Medium,Low
Tamil Nadu,Madurai,Red,Kharif,High,None,2,25.2,474,Rice,Low,Medium,Low
Andhra Pradesh,Nellore,Sandy,Rabi,Medium,None,1,26.0,229,Sunflower,Medium,High,Medium
Tamil Nadu,Thanjavur,Red,Kharif,High,Cotton,3,26.0,412,Rice,Low,High,Medium
Maharashtra,Buldhana,Loam,Summer,Medium,None,3,35.2,43,Onion,Medium,High,Medium
Tamil Nadu,Tiruvarur,Sandy,Kharif,Low,Cotton,3,25.6,488,Groundnut,Low,Medium,Medium
Tamil Nadu,Virudhunagar,Clay,Kharif,Low,Maize,1,28.7,335,Turmeric,High,High,Low
Karnataka,Tumkur,Loam,Summer,Low,Groundnut,1,31.4,102,Maize,High,Medium,Medium
Telangana,Adilabad,Sandy,Summer,Medium,Soybean,2,33.4,63,Maize,High,Medium,Medium
Telangana,Medak,Clay,Kharif,High,Maize,3,28.1,797,Rice,Low,High,Medium
Telangana,Warangal Rural,Black,Summer,High,Jowar,3,37.0,98,Onion,Medium,High,Medium
Telangana,Nirmal,Clay,Kharif,High,Rice,2,28.9,1039,Rice,Low,High,Medium
Karnataka,Chitradurga,Clay,Rabi,Medium,Rice,3,20.3,68,Wheat,Medium,High,Low
Maharashtra,Nagpur,Clay,Kharif,High,Soybean,3,28.5,821,Rice,Low,High,Medium
Andhra Pradesh,Anantapur,Red,Kharif,High,Jowar,0,30.0,372,Rice,Low,High,Medium
Andhra Pradesh,Guntur,Red,Kharif,High,Rice,2,32.3,506,Rice,Low,High,Medium
Andhra Pradesh,Tirupati,Red,Rabi,Low,Chilli,1,23.4,218,Sunflower,Medium,Medium,Medium
Andhra Pradesh,East Godavari,Loam,Kharif,Medium,Maize,7,27.9,925,Rice,Low,High,Medium
Andhra Pradesh,Guntur,Black,Kharif,Medium,Onion,13,27.8,575,Cotton,High,Medium,High
Tamil Nadu,Ramanathapuram,Clay,Rabi,Low,Sunflower,1,22.6,282,Wheat,High,Medium,Low
Odisha,Puri,Red,Rabi,High,Chilli,1,28.7,71,Ragi,Low,Low,Low
Karnataka,Chamarajanagar,Red,Kharif,Medium,Ragi,1,25.1,616,Maize,Medium,Medium,Medium
Maharashtra,Buldhana,Black,Kharif,Low,Bajra,6,27.8,378,Cotton,High,Medium,High
Tamil Nadu,Chennai,Clay,Kharif,High,Rice,3,29.3,452,Banana,High,Medium,High
Odisha,Angul,Black,Kharif,Low,Groundnut,1,26.2,1223,Cotton,High,Medium,High
Odisha,Sundargarh,Clay,Rabi,Low,None,4,20.1,72,Ragi,Low,High,Low
Karnataka,Bidar,Loam,Kharif,High,None,9,27.8,328,Rice,Low,High,Medium
Maharashtra,Aurangabad,Clay,Kharif,High,Chilli,4,24.2,584,Rice,Low,High,Medium
Andhra Pradesh,Nellore,Red,Rabi,Low,Rice,4,24.3,238,Ragi,Low,Medium,Low
Telangana,Nirmal,Black,Kharif,Medium,Maize,7,30.3,685,Cotton,Medium,Medium,High
Tamil Nadu,Theni,Sandy,Rabi,Low,Sugarcane,0,23.5,343,Groundnut,Low,Medium,Medium
Telangana,Peddapalli,Black,Summer,High,Soybean,2,37.9,61,Onion,High,High,Low
Maharashtra,Ahmednagar,Sandy,Kharif,High,Groundnut,3,27.7,396,Sugarcane,High,High,High
Karnataka,Gadag,Red,Kharif,Medium,None,3,28.5,346,Ragi,Low,Medium,Low
Maharashtra,Jalgaon,Sandy,Summer,High,None,2,35.8,43,Onion,Medium,High,Medium
Karnataka,Chikkamagaluru,Clay,Rabi,High,Cotton,4,13.6,100,Wheat,Medium,Medium,Low
Odisha,Gajapati,Loam,Kharif,Medium,None,1,26.6,1174,Rice,Low,High,Medium
Telangana,Khammam,Red,Summer,High,Chilli,2,34.1,61,Onion,Medium,High,Medium
Tamil Nadu,Thoothukudi,Loam,Summer,Medium,Chilli,1,34.4,79,Banana,High,High,High
Telangana,Vikarabad,Sandy,Kharif,Medium,Soybean,7,23.6,710,Cotton,High,Medium,High
Telangana,Khammam,Loam,Rabi,Medium,Groundnut,4,22.8,71,Wheat,Medium,Medium,Low
Telangana,Mulugu,Sandy,Summer,Medium,None,5,33.3,58,Maize,Medium,Medium,Medium
Odisha,Sambalpur,Loam,Rabi,Low,Chilli,3,21.9,57,Ragi,Low,Medium,Low
Tamil Nadu,Cuddalore,Clay,Rabi,High,Soybean,0,24.0,382,Wheat,Medium,Low,Medium
Tamil Nadu,Namakkal,Red,Rabi,High,Sunflower,1,19.1,116,Ragi,Low,Medium,Low
Karnataka,Hassan,Black,Rabi,High,Chilli,2,22.6,122,Wheat,Medium,High,Low
Andhra Pradesh,Nellore,Loam,Rabi,Medium,Soybean,2,25.1,197,Wheat,Medium,High,Low
Telangana,Siddipet,Sandy,Rabi,High,Cotton,2,23.7,59,Sunflower,Medium,Medium,Medium
Maharashtra,Nanded,Sandy,Kharif,Low,None,6,30.5,758,Cotton,High,Medium,High
Tamil Nadu,Madurai,Clay,Rabi,Medium,Cotton,1,24.8,316,Wheat,Medium,High,Low
Telangana,Jangaon,Loam,Kharif,Low,Jowar,4,29.0,520,Cotton,High,Medium,High
Odisha,Gajapati,Clay,Kharif,Medium,Jowar,2,23.4,929,Rice,Medium,High,Medium
Telangana,Peddapalli,Red,Rabi,High,Jowar,2,21.6,59,Sunflower,Medium,High,Medium
Odisha,Jajpur,Black,Rabi,Medium,Groundnut,1,22.6,226,Wheat,Medium,Medium,Low
Odisha,Rayagada,Loam,Kharif,Low,Onion,1,21.2,1476,Rice,Low,High,Low
Karnataka,Koppal,Clay,Kharif,High,Maize,7,26.7,419,Rice,Low,Medium,Medium
Andhra Pradesh,Krishna,Black,Kharif,Medium,None,1,32.7,689,Cotton,Medium,Medium,High
Odisha,Kendrapara,Black,Rabi,Low,Jowar,2,24.6,175,Jowar,Low,Medium,Low
Odisha,Ganjam,Sandy,Kharif,Medium,None,1,28.3,775,Maize,High,Medium,High
Telangana,Mahabubnagar,Red,Kharif,High,Groundnut,3,26.0,696,Cotton,High,Medium,High
Karnataka,Gadag,Red,Rabi,High,Maize,4,24.0,36,Ragi,Low,Medium,Low
Maharashtra,Kolhapur,Loam,Kharif,Low,Rice,3,23.9,1012,Cotton,High,Medium,High
Karnataka,Mandya,Clay,Kharif,Low,Cotton,9,22.9,526,Cotton,High,Medium,High
Andhra Pradesh,Chittoor,Sandy,Summer,High,Cotton,4,34.9,72,Rice,Low,High,Medium
Karnataka,Haveri,Loam,Rabi,Low,Maize,1,21.2,65,Ragi,Low,Medium,Low
Karnataka,Shimoga,Clay,Rabi,Low,Soybean,3,17.3,111,Wheat,High,Medium,Low
Odisha,Cuttack,Clay,Kharif,High,None,3,28.2,1030,Rice,Low,High,Medium
Tamil Nadu,Coimbatore,Sandy,Kharif,Medium,Sunflower,1,25.9,428,Groundnut,Low,Medium,Medium
Karnataka,Raichur,Sandy,Rabi,Low,Maize,4,24.2,53,Sunflower,Medium,Medium,Medium
Karnataka,Bangalore Urban,Sandy,Kharif,Medium,None,3,25.0,743,Cotton,High,Medium,High
Tamil Nadu,Thanjavur,Loam,Kharif,Medium,Ragi,2,24.4,428,Maize,High,Low,Medium
Karnataka,Raichur,Sandy,Kharif,High,Chilli,3,24.9,398,Groundnut,Low,Medium,Medium
Maharashtra,Beed,Loam,Kharif,High,Sunflower,3,27.9,594,Rice,Low,High,Medium
Karnataka,Bangalore Urban,Loam,Kharif,Medium,Groundnut,1,27.3,448,Maize,High,High,Medium
Odisha,Cuttack,Sandy,Kharif,High,Maize,3,30.5,1096,Rice,Low,High,Medium
Andhra Pradesh,West Godavari,Loam,Rabi,Medium,Rice,1,24.4,109,Wheat,Medium,Medium,Low
Telangana,Medak,Black,Kharif,Low,Sugarcane,4,32.5,631,Cotton,High,Medium,High
Telangana,Mancherial,Black,Kharif,High,Bajra,1,28.1,993,Cotton,High,Medium,High
Tamil Nadu,Theni,Sandy,Kharif,Medium,Groundnut,1,31.0,358,Groundnut,Medium,Medium,Medium
Andhra Pradesh,Anantapur,Loam,Kharif,Low,None,3,26.8,305,Cotton,High,High,High
Maharashtra,Ratnagiri,Red,Kharif,High,Sugarcane,2,24.9,2200,Sugarcane,Medium,High,High
Karnataka,Kolar,Clay,Rabi,Low,Onion,3,21.7,51,Wheat,Medium,Medium,Low
Andhra Pradesh,East Godavari,Clay,Kharif,Medium,Bajra,1,32.4,639,Rice,Medium,High,Medium
Karnataka,Mysore,Clay,Kharif,Low,Turmeric,3,22.3,371,Ragi,Low,Medium,Low
Karnataka,Bangalore Urban,Red,Rabi,Medium,Chilli,5,21.3,190,Ragi,Low,Medium,Low
Tamil Nadu,Nagapattinam,Red,Summer,Low,Rice,2,29.9,169,Onion,Medium,High,Medium
Maharashtra,Dhule,Sandy,Rabi,Medium,None,3,21.6,33,Onion,Medium,High,Medium
Andhra Pradesh,West Godavari,Red,Kharif,Medium,Groundnut,6,31.5,326,Groundnut,Low,Medium,Medium
Telangana,Warangal Rural,Red,Rabi,High,Rice,7,25.2,50,Sunflower,Medium,High,Medium
